,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Category
WFDC12,14.93619976,3.502543804,0.36352635,6.884078145,5.82E-12,4.84E-10,Positive
PPP4R4,62.47144464,2.679674107,0.244028032,6.883119494,5.86E-12,4.86E-10,Positive
KRT16,24010.77202,2.733117704,0.251831087,6.882064183,5.90E-12,4.87E-10,Positive
DSP,28513.29195,2.033982461,0.15030118,6.879403497,6.01E-12,4.95E-10,Positive
CYP4F35P,129.0648494,-2.724512591,0.251013357,-6.870202503,6.41E-12,5.26E-10,Negative
SLAMF9,30.15353804,2.302097023,0.189600277,6.867590288,6.53E-12,5.34E-10,Positive
LINC01940,1.995927737,3.389544996,0.348102433,6.864488069,6.67E-12,5.44E-10,Positive
TEAD4,813.4891818,1.703202549,0.102507333,6.860021891,6.88E-12,5.59E-10,Positive
FABP6,666.3033601,-2.347196017,0.196887458,-6.84246742,7.78E-12,6.30E-10,Negative
SEMG2,7.78749131,-3.503510368,0.36613183,-6.837729374,8.05E-12,6.49E-10,Negative
CYP4F2,48.62221044,-2.821277225,0.266393512,-6.836792734,8.10E-12,6.51E-10,Negative
PACRG,78.12892756,-2.362490933,0.199775358,-6.820115072,9.10E-12,7.29E-10,Negative
CYP4F29P,221.8468977,-2.628088948,0.239084519,-6.8096795,9.78E-12,7.81E-10,Negative
LINC00536,3.030546659,3.383262152,0.350317964,6.803140006,1.02E-11,8.15E-10,Positive
LINC01910,7.568971503,2.760599137,0.258892877,6.800492751,1.04E-11,8.27E-10,Positive
OR6B3,2.158500341,-3.845450695,0.418962003,-6.791667675,1.11E-11,8.77E-10,Negative
ZBTB8B,136.2977305,-2.206937776,0.178164792,-6.774277706,1.25E-11,9.85E-10,Negative
CES1P1,19.75082597,3.217340817,0.327748723,6.765368291,1.33E-11,1.04E-09,Positive
ERBB4,78.4120059,-2.607235781,0.23753497,-6.766312256,1.32E-11,1.04E-09,Negative
SH3PXD2A-AS1,192.9542283,2.279842466,0.189260969,6.762315949,1.36E-11,1.06E-09,Positive
TM4SF19-AS1,36.3517032,1.905207643,0.133967611,6.756914129,1.41E-11,1.10E-09,Positive
ACSM6,162.9400067,-2.902815885,0.281708552,-6.754554917,1.43E-11,1.11E-09,Negative
GBX2,8.47597831,2.474573134,0.218594017,6.745715891,1.52E-11,1.18E-09,Positive
LINC01010,10.20389872,2.486791186,0.22083973,6.732444306,1.67E-11,1.29E-09,Positive
SH3RF2,558.1154855,2.027975968,0.152725907,6.730855208,1.69E-11,1.29E-09,Positive
ITLN1,275.9637188,-3.089288006,0.310421376,-6.730490132,1.69E-11,1.29E-09,Negative
SAA2-SAA4,61.37516065,3.17987715,0.324156596,6.724765674,1.76E-11,1.34E-09,Positive
BCAS1,3908.619635,-2.340872437,0.199952246,-6.705963366,2.00E-11,1.52E-09,Negative
PLEKHH1,1269.046188,-1.862732682,0.128805111,-6.69796933,2.11E-11,1.60E-09,Negative
FOXH1,56.35753492,-2.21833775,0.181977127,-6.695004848,2.16E-11,1.63E-09,Negative
RNF128,4416.097735,-2.097827955,0.164040489,-6.692420647,2.20E-11,1.65E-09,Negative
HSD17B2,2595.141362,-2.392181688,0.208225068,-6.685946627,2.29E-11,1.72E-09,Negative
IL20RB,1138.503114,2.370498226,0.205026186,6.68450335,2.32E-11,1.73E-09,Positive
SCEL,687.9217159,2.709304737,0.255735047,6.683889262,2.33E-11,1.74E-09,Positive
DAB1,377.6958029,-2.70800303,0.255759716,-6.678155016,2.42E-11,1.80E-09,Negative
NRG2,94.6358502,-2.241784374,0.186434065,-6.66071606,2.72E-11,2.02E-09,Negative
SCN11A,38.44641257,-2.285336111,0.193056304,-6.657830311,2.78E-11,2.05E-09,Negative
SULT1A2,151.0127736,-2.294052884,0.194595187,-6.649973728,2.93E-11,2.16E-09,Negative
VNN3,28.39872672,2.521063736,0.229318354,6.632978613,3.29E-11,2.42E-09,Positive
BEND5,255.8879718,-1.864263578,0.130346589,-6.630503995,3.35E-11,2.45E-09,Negative
SPINK4,94.60578522,-2.92285226,0.29011298,-6.627942868,3.40E-11,2.49E-09,Negative
IL1RAP,1198.198941,1.759750683,0.114845121,6.615437157,3.70E-11,2.70E-09,Positive
LCE3D,22.53099105,4.118244015,0.471602691,6.612014893,3.79E-11,2.75E-09,Positive
PSMC1P7,7.130289406,-2.532796835,0.232145811,-6.602733117,4.04E-11,2.92E-09,Negative
PGLYRP2,24.49315298,-2.416482886,0.214750797,-6.595937745,4.23E-11,3.05E-09,Negative
PGLYRP3,157.009171,2.935363264,0.293655939,6.590581038,4.38E-11,3.15E-09,Positive
GSTM1,7052.581374,-3.137742485,0.324873628,-6.580227816,4.70E-11,3.37E-09,Negative
HMGCS2,9332.00943,-2.862202291,0.283118943,-6.577455643,4.79E-11,3.42E-09,Negative
CGB8,11.60064104,3.024556516,0.310029034,6.53021587,6.57E-11,4.68E-09,Positive
LINC02130,1.632460807,3.267875741,0.348787573,6.502168984,7.92E-11,5.63E-09,Positive
CYP4F22,1668.403933,-2.419773038,0.218399088,-6.500819436,7.99E-11,5.66E-09,Negative
DACH2,62.43058225,-2.631772296,0.251894422,-6.478000916,9.29E-11,6.57E-09,Negative
CNFN,748.2330962,2.217988129,0.188117786,6.47460379,9.51E-11,6.70E-09,Positive
GATA3,12616.17995,-1.976639543,0.151039316,-6.46612795,1.01E-10,7.06E-09,Negative
COL6A5,71.07611341,-2.433548834,0.222186598,-6.452004061,1.10E-10,7.73E-09,Negative
DSC3,7479.024758,2.693348337,0.262571891,6.449084601,1.13E-10,7.86E-09,Positive
MIR3972,12.88617865,-2.725534403,0.267682579,-6.446196131,1.15E-10,7.99E-09,Negative
PCSK9,374.6735978,2.480765638,0.229781996,6.444219576,1.16E-10,8.07E-09,Positive
CYP4Z2P,77.81148184,-2.376413019,0.213787006,-6.438244507,1.21E-10,8.37E-09,Negative
DAW1,8.767068644,2.97628365,0.30702351,6.436913093,1.22E-10,8.42E-09,Positive
UPK2,16853.5758,-2.556300365,0.242134469,-6.427421814,1.30E-10,8.93E-09,Negative
ZNF861P,3.833558223,-3.1558457,0.336749467,-6.40192758,1.53E-10,1.05E-08,Negative
AVPR1B,3.266120482,-2.780360506,0.278388618,-6.395234534,1.60E-10,1.10E-08,Negative
KRTAP2-3,12.36488779,3.123903305,0.332474092,6.388176873,1.68E-10,1.14E-08,Positive
FAM3B,2712.212916,-2.344650228,0.21048769,-6.388260654,1.68E-10,1.14E-08,Negative
KRT16P3,12.23731299,2.707282252,0.267886609,6.373152646,1.85E-10,1.26E-08,Positive
SLC36A2,11.20582372,-2.592733067,0.250345031,-6.362151704,1.99E-10,1.35E-08,Negative
APCDD1L,232.5034189,2.466561142,0.230855617,6.352720202,2.12E-10,1.42E-08,Positive
PPP1R14C,708.1704722,2.288176468,0.202768787,6.352932753,2.11E-10,1.42E-08,Positive
GRAMD2A,263.1825206,2.186828365,0.18682471,6.352630578,2.12E-10,1.42E-08,Positive
GAST,6.789848464,2.9250273,0.303168564,6.34969298,2.16E-10,1.44E-08,Positive
LDHAL6A,28.80419427,-2.705600407,0.268689784,-6.347842409,2.18E-10,1.46E-08,Negative
ANXA3,1492.514024,1.984516656,0.155411066,6.334919926,2.37E-10,1.58E-08,Positive
AVP,3.417783464,-3.403897472,0.379527506,-6.33392161,2.39E-10,1.59E-08,Negative
SELL,1907.359207,-2.276354873,0.201853567,-6.323172238,2.56E-10,1.70E-08,Negative
UPK1A,9300.251232,-2.665021172,0.263365169,-6.322100895,2.58E-10,1.70E-08,Negative
NUAK2,559.1174344,1.782528718,0.123809352,6.320433007,2.61E-10,1.72E-08,Positive
CAB39L,2497.203927,-1.743930415,0.117977671,-6.305688268,2.87E-10,1.88E-08,Negative
IL9R,161.4427632,-2.090892242,0.173041116,-6.304237214,2.90E-10,1.89E-08,Negative
ZNF682,416.6424278,-1.745583592,0.118416884,-6.296260839,3.05E-10,1.99E-08,Negative
CDH3,8919.312287,2.044591143,0.16603884,6.291245712,3.15E-10,2.05E-08,Positive
MROH2A,247.0017733,-2.605248143,0.255231021,-6.289392781,3.19E-10,2.07E-08,Negative
KRT78,130.8979723,2.414940215,0.225497523,6.274748371,3.50E-10,2.27E-08,Positive
HS3ST3A1,78.0018322,2.392477569,0.221969972,6.273270008,3.54E-10,2.28E-08,Positive
FOLR3,10.66097281,2.544052425,0.246430259,6.265677077,3.71E-10,2.39E-08,Positive
TREM1,341.5248655,2.147780649,0.183313248,6.261307683,3.82E-10,2.45E-08,Positive
CCSER1,405.7615472,-2.011967393,0.162184097,-6.239621573,4.39E-10,2.81E-08,Negative
SEZ6L,38.06797068,-2.6923491,0.271777146,-6.226973554,4.76E-10,3.04E-08,Negative
SLC10A6,68.61191188,2.212877166,0.195112193,6.216306349,5.09E-10,3.24E-08,Positive
GSTM2,2966.970195,-2.298871317,0.209037922,-6.213567879,5.18E-10,3.29E-08,Negative
IL36RN,248.5940443,2.625487672,0.262433123,6.19391202,5.87E-10,3.71E-08,Positive
ASTL,26.38842202,-2.212324524,0.195733459,-6.19375212,5.87E-10,3.71E-08,Negative
TUBAL3,24.47315311,2.290698395,0.208519224,6.189829276,6.02E-10,3.80E-08,Positive
CYP3A5,1391.856404,-2.217285059,0.197536796,-6.162320562,7.17E-10,4.51E-08,Negative
ZNF321P,270.0425676,-1.665442744,0.108087416,-6.156523759,7.44E-10,4.66E-08,Negative
PTTG2,6.556572664,-2.055859394,0.171592485,-6.153296251,7.59E-10,4.74E-08,Negative
IRS4,7.666662847,-2.800229932,0.292852599,-6.147221969,7.89E-10,4.92E-08,Negative
IFNK,5.805502872,3.766825249,0.450476161,6.142001479,8.15E-10,5.07E-08,Positive
SNCG,17520.28425,-2.034917815,0.168695336,-6.134833609,8.52E-10,5.29E-08,Negative
SRMS,226.0476676,-1.90471606,0.147548631,-6.131646604,8.70E-10,5.38E-08,Negative
KANK4,163.7303321,2.560953695,0.255047393,6.120249561,9.34E-10,5.77E-08,Positive
PPP2R2C,441.9030742,2.408852254,0.230743118,6.10571732,1.02E-09,6.28E-08,Positive
BMP3,1982.145686,-2.410698816,0.231043772,-6.105764293,1.02E-09,6.28E-08,Negative
NPHS2,12.61391169,-3.348733239,0.384702366,-6.105325696,1.03E-09,6.28E-08,Negative
CXCL11,1162.05916,2.442366404,0.236318002,6.103497799,1.04E-09,6.34E-08,Positive
SLC10A2,4.154003715,-4.053570502,0.500909993,-6.096046285,1.09E-09,6.62E-08,Negative
RBP1,1621.611164,2.02463018,0.168331106,6.086992501,1.15E-09,6.99E-08,Positive
PCP2,71.40499353,-1.929711749,0.152781745,-6.085227966,1.16E-09,7.05E-08,Negative
VSTM2A,11.25854613,-2.915785716,0.315543022,-6.071393068,1.27E-09,7.67E-08,Negative
PSCA,61483.33196,-2.450494408,0.239373641,-6.059541073,1.37E-09,8.23E-08,Negative
BNIP3P15,6.020714782,-2.464416658,0.242486568,-6.039166083,1.55E-09,9.32E-08,Negative
CD44,20064.48659,1.742655296,0.123259637,6.025129684,1.69E-09,1.01E-07,Positive
UPK3A,3807.845595,-2.619318017,0.268738246,-6.025632911,1.68E-09,1.01E-07,Negative
GPR1,100.7795574,2.22446744,0.203482108,6.017568101,1.77E-09,1.06E-07,Positive
KLHDC7A,1585.508641,-2.320644356,0.21982278,-6.007768431,1.88E-09,1.12E-07,Negative
PDZD3,99.76897282,-2.516928429,0.252492875,-6.007806869,1.88E-09,1.12E-07,Negative
TGM3,17.21826483,2.401384203,0.233453563,6.002839213,1.94E-09,1.15E-07,Positive
VEGFC,792.1020648,1.716961418,0.119520848,5.998630607,1.99E-09,1.18E-07,Positive
MAN1C1,3084.281793,-2.119029188,0.18658235,-5.997508258,2.00E-09,1.18E-07,Negative
LINC00601,2.95887,2.639229569,0.273865187,5.985534659,2.16E-09,1.27E-07,Positive
BBOX1,93.44215499,2.228682361,0.205305522,5.984653259,2.17E-09,1.27E-07,Positive
MIR4728,4.731710266,-2.218019973,0.203635992,-5.981359009,2.21E-09,1.30E-07,Negative
BMPR1B,129.2802681,2.277487311,0.213735629,5.976950682,2.27E-09,1.33E-07,Positive
SDR16C5,330.2007823,2.627609164,0.272414328,5.974756096,2.30E-09,1.34E-07,Positive
LINC02323,36.46284288,2.030502311,0.172927439,5.95916019,2.54E-09,1.47E-07,Positive
L1CAM,1006.400881,2.490468426,0.250286077,5.955059289,2.60E-09,1.51E-07,Positive
FAM167A-AS1,3.184748043,-2.91967543,0.322741328,-5.948031009,2.71E-09,1.57E-07,Negative
PRSS56,8.94489856,3.840725796,0.478360241,5.93846552,2.88E-09,1.66E-07,Positive
SLC13A5,33.70658916,2.254188492,0.211238236,5.937317567,2.90E-09,1.67E-07,Positive
COL17A1,7450.302808,2.301777964,0.219531601,5.929797621,3.03E-09,1.74E-07,Positive
AGBL1-AS1,1.358201948,3.519590341,0.425085213,5.927259441,3.08E-09,1.76E-07,Positive
ACTBL2,14.34146152,2.660485949,0.280370108,5.922478541,3.17E-09,1.81E-07,Positive
TBX1,1380.195939,-2.123104306,0.189819664,-5.916691034,3.28E-09,1.87E-07,Negative
METTL7A,7000.187249,-1.73809713,0.124852912,-5.911733405,3.39E-09,1.92E-07,Negative
STK32A,353.8761886,-2.114783538,0.188618191,-5.910265237,3.42E-09,1.94E-07,Negative
DLX2,18.24458501,2.338765035,0.227154718,5.893626359,3.78E-09,2.13E-07,Positive
AREG,2186.789459,2.216033828,0.206300833,5.894468816,3.76E-09,2.13E-07,Positive
POLR3G,192.6577533,1.60552235,0.102733472,5.894109646,3.77E-09,2.13E-07,Positive
IL36B,7.618500823,2.827967628,0.310883074,5.879920079,4.10E-09,2.31E-07,Positive
DLEC1,77.959018,-1.741677866,0.126167992,-5.878494677,4.14E-09,2.32E-07,Negative
SORL1,6560.727703,-1.78269393,0.133147991,-5.878375793,4.14E-09,2.32E-07,Negative
LINGO2,27.68554229,2.559152572,0.265315675,5.876594264,4.19E-09,2.34E-07,Positive
TBX2,5965.857488,-1.935965615,0.159341879,-5.873946125,4.26E-09,2.37E-07,Negative
TPPP2,10.26037257,-2.385282121,0.23594473,-5.871214498,4.33E-09,2.40E-07,Negative
ARSJ,248.6235739,1.919360874,0.156649496,5.868904112,4.39E-09,2.43E-07,Positive
BEST2,8.454978164,2.445502218,0.246528148,5.863436816,4.53E-09,2.50E-07,Positive
CYP26B1,357.7122235,2.043125575,0.177888721,5.86392196,4.52E-09,2.50E-07,Positive
EVX1,400.0284199,-2.420645881,0.242338573,-5.862235889,4.57E-09,2.51E-07,Negative
LINC01136,22.25121749,-1.927982281,0.158345666,-5.860484262,4.62E-09,2.53E-07,Negative
CGB5,29.83326922,2.800629941,0.307687267,5.852143172,4.85E-09,2.66E-07,Positive
NFE4,7.47349424,2.506868101,0.257534668,5.851127203,4.88E-09,2.66E-07,Positive
IL11,334.0430141,2.046698233,0.178875288,5.851553029,4.87E-09,2.66E-07,Positive
SLC26A5,21.0227859,-2.044982735,0.178666489,-5.848789779,4.95E-09,2.69E-07,Negative
LINC01122,14.74952017,-2.648602505,0.282304249,-5.839807625,5.23E-09,2.84E-07,Negative
PKIA,1536.577705,-1.754655168,0.12936649,-5.833467154,5.43E-09,2.94E-07,Negative
CD274,560.4461662,1.933888942,0.16016999,5.830611231,5.52E-09,2.98E-07,Positive
SLC16A1-AS1,116.1617198,1.789357796,0.135607774,5.820888948,5.85E-09,3.16E-07,Positive
KRTAP5-11,1.457080532,-2.854704984,0.318752817,-5.818630872,5.93E-09,3.19E-07,Negative
LCN15,10.52976402,-3.076069801,0.357660123,-5.804588402,6.45E-09,3.46E-07,Negative
CLDN24,1.502705609,2.70171368,0.293202912,5.803877147,6.48E-09,3.47E-07,Positive
MIR6784,4.791114785,-2.207306394,0.208569542,-5.788507664,7.10E-09,3.79E-07,Negative
COL9A1,68.3445914,-2.372880654,0.237584136,-5.778503039,7.54E-09,4.02E-07,Negative
TRIM16L,698.6750934,1.722249171,0.125111218,5.772857001,7.79E-09,4.15E-07,Positive
MIR429,27.21694561,-2.027942146,0.178197326,-5.768560988,8.00E-09,4.23E-07,Negative
HS6ST3,329.4889398,-2.587833353,0.275242398,-5.768854516,7.98E-09,4.23E-07,Negative
LCE3E,9.642647474,3.470905117,0.431369144,5.728052531,1.02E-08,5.37E-07,Positive
KRTDAP,1436.504002,3.005641505,0.350176225,5.727520498,1.02E-08,5.37E-07,Positive
ZNF552,899.9374826,-1.555478447,0.097037691,-5.724357613,1.04E-08,5.46E-07,Negative
IHH,103.56215,-2.709103659,0.298675048,-5.722284697,1.05E-08,5.51E-07,Negative
RNF186,51.60237129,-2.762760794,0.3080533,-5.72225909,1.05E-08,5.51E-07,Negative
PSD2,57.1330542,-2.253729019,0.219149649,-5.720880785,1.06E-08,5.54E-07,Negative
RPS3AP53,4.145362791,-2.165606136,0.20405136,-5.712317395,1.11E-08,5.81E-07,Negative
TUBB6,4972.163934,1.803645266,0.140955331,5.701418019,1.19E-08,6.18E-07,Positive
BTG2,15205.37358,-1.686492293,0.120825383,-5.681689369,1.33E-08,6.92E-07,Negative
UGT1A1,153.0779562,-2.502961841,0.26464747,-5.67910904,1.35E-08,7.01E-07,Negative
PCP4L1,1470.475223,-2.250791321,0.220423141,-5.674500928,1.39E-08,7.19E-07,Negative
NKX1-2,34.30410208,2.771008887,0.312254088,5.671691592,1.41E-08,7.29E-07,Positive
ZNF626,984.7030503,-2.008668005,0.178617696,-5.64707768,1.63E-08,8.40E-07,Negative
MYCNOS,32.65278115,-2.532129101,0.271378269,-5.645732447,1.64E-08,8.45E-07,Negative
HID1,4257.380304,-1.771823637,0.136834899,-5.640546699,1.70E-08,8.69E-07,Negative
ODAPH,67.13683549,2.401665574,0.248588225,5.638503476,1.72E-08,8.77E-07,Positive
MMP9,2437.627422,2.104061177,0.196158368,5.628417424,1.82E-08,9.28E-07,Positive
MMP3,781.3273945,2.295978976,0.230302993,5.627278044,1.83E-08,9.32E-07,Positive
FSIP2,269.9804731,-2.035074656,0.183973832,-5.626205886,1.84E-08,9.36E-07,Negative
LINC02154,106.0495623,2.783201783,0.317086637,5.623705248,1.87E-08,9.48E-07,Positive
KCTD16,41.04825234,-2.145323304,0.203756938,-5.621027281,1.90E-08,9.60E-07,Negative
LUARIS,9.737364019,2.183581058,0.210946102,5.610822134,2.01E-08,1.02E-06,Positive
RAPSN,48.829983,-2.007359292,0.17962264,-5.608197798,2.04E-08,1.03E-06,Negative
TNNI2,1927.003544,-2.205571891,0.215595509,-5.591822832,2.25E-08,1.13E-06,Negative
LGALS9C,20.60806862,2.248869031,0.223455661,5.588889661,2.29E-08,1.15E-06,Positive
BNIP3P16,8.394483361,-2.024475876,0.183408055,-5.58577361,2.33E-08,1.16E-06,Negative
ZNF486,2006.798105,-1.959389099,0.171899703,-5.581098072,2.39E-08,1.19E-06,Negative
LINC01671,211.3618315,-2.231442508,0.220776009,-5.577791335,2.44E-08,1.21E-06,Negative
BPIFB2,4.759484272,-3.391632469,0.428900871,-5.576189352,2.46E-08,1.22E-06,Negative
LINC00707,54.20382421,2.518055105,0.272604584,5.568707187,2.57E-08,1.27E-06,Positive
IL22RA2,22.02638847,2.256311526,0.225961434,5.559849314,2.70E-08,1.34E-06,Positive
ABCA6,473.6710299,-2.047980371,0.1886902,-5.553973493,2.79E-08,1.38E-06,Negative
OR10Y1P,2.694796559,3.381070197,0.428790312,5.55299439,2.81E-08,1.39E-06,Positive
SEC24AP1,4.018477969,-2.840995008,0.331563392,-5.552467654,2.82E-08,1.39E-06,Negative
C11orf87,16.21465815,2.768836734,0.318894086,5.546784369,2.91E-08,1.43E-06,Positive
CARD18,15.21831113,3.12395997,0.383040666,5.544998633,2.94E-08,1.44E-06,Positive
ECM1,2303.147348,1.765046366,0.138271167,5.532942122,3.15E-08,1.54E-06,Positive
PKIA-AS1,18.19112738,-1.918557388,0.166223795,-5.526028257,3.28E-08,1.60E-06,Negative
GDPD2,439.1319796,-2.236879654,0.223981934,-5.522229538,3.35E-08,1.63E-06,Negative
SDR9C7,92.54616003,2.490628223,0.270088929,5.519027476,3.41E-08,1.65E-06,Positive
UNC13C,72.85595419,-2.92579115,0.348899882,-5.519609637,3.40E-08,1.65E-06,Negative
SULT2B1,666.4127739,2.129554725,0.205157871,5.505783039,3.68E-08,1.78E-06,Positive
RBBP8NL,797.0124655,-1.874196352,0.158957757,-5.499551378,3.81E-08,1.84E-06,Negative
TLL1,164.6464339,2.07410219,0.195798531,5.485752024,4.12E-08,1.98E-06,Positive
MYO1B,4136.363699,1.54599589,0.099517675,5.486421295,4.10E-08,1.98E-06,Positive
GGT3P,13.19596684,-2.602076037,0.292406696,-5.478930752,4.28E-08,2.06E-06,Negative
BRWD1P3,2.058951954,-2.471345117,0.268613229,-5.477560138,4.31E-08,2.07E-06,Negative
SCUBE2,3699.57261,-2.127033394,0.20611424,-5.468003542,4.55E-08,2.18E-06,Negative
SERPINB10,6.036394502,2.580087645,0.289024209,5.466973349,4.58E-08,2.19E-06,Positive
CHIA,7.39439177,-2.98118196,0.362744789,-5.4616414,4.72E-08,2.25E-06,Negative
EREG,1300.563962,2.472746402,0.269773933,5.459187198,4.78E-08,2.28E-06,Positive
MUC16,1235.964362,2.64217284,0.301162378,5.452782155,4.96E-08,2.35E-06,Positive
RHBG,646.6553206,-2.197306275,0.219874474,-5.445408249,5.17E-08,2.45E-06,Negative
SPRR2B,7.101935809,3.389535993,0.438996885,5.443172997,5.23E-08,2.48E-06,Positive
SLC14A1,4976.684578,-2.233004452,0.226808371,-5.436326908,5.44E-08,2.57E-06,Negative
PDCD1LG2,207.7120586,1.934492506,0.17194572,5.434811082,5.49E-08,2.58E-06,Positive
FOXD1,169.6184525,2.167825731,0.215661611,5.415083963,6.13E-08,2.88E-06,Positive
SPANXC,2.684688989,4.075401306,0.568559795,5.409107946,6.33E-08,2.97E-06,Positive
UGT2B15,126.9730896,-2.678171306,0.311613619,-5.385423503,7.23E-08,3.38E-06,Negative
PDE10A,1022.497458,-1.907694659,0.168591875,-5.383976303,7.29E-08,3.40E-06,Negative
PLA2G2F,5054.045397,-2.277663012,0.237295759,-5.38426399,7.27E-08,3.40E-06,Negative
SLC19A3,80.61932508,2.042540272,0.193812806,5.379109323,7.49E-08,3.48E-06,Positive
CCL8,187.2368642,2.026749215,0.190943216,5.377248986,7.56E-08,3.51E-06,Positive
RPS27P1,0.93126739,-2.781886268,0.33163599,-5.373018368,7.74E-08,3.59E-06,Negative
ZNF432,1291.385422,-1.661770048,0.123238051,-5.369851632,7.88E-08,3.65E-06,Negative
CEACAM19,290.8719788,1.686691267,0.128520866,5.34303329,9.14E-08,4.22E-06,Positive
SH3GL3,53.3739877,2.475388872,0.276276729,5.340257485,9.28E-08,4.28E-06,Positive
GGT2,29.53447876,-2.511172253,0.283185364,-5.336335998,9.48E-08,4.36E-06,Negative
GJB2,13422.24116,2.01842018,0.191148231,5.327907941,9.94E-08,4.56E-06,Positive
UBE2FP3,27.78638605,-1.616532955,0.115891331,-5.319922977,1.04E-07,4.76E-06,Negative
MAP2,428.3470119,1.988005269,0.185918382,5.314188181,1.07E-07,4.90E-06,Positive
SOX7,512.3459741,1.798854062,0.150333664,5.313873428,1.07E-07,4.90E-06,Positive
ZPLD1,14.21155865,2.200333163,0.226316049,5.303791606,1.13E-07,5.16E-06,Positive
SYT12,460.4807814,2.02243781,0.192779983,5.303651309,1.14E-07,5.16E-06,Positive
BNIP3P24,5.337380454,-2.086429686,0.205223851,-5.293876316,1.20E-07,5.44E-06,Negative
MIR200A,11.01612576,-2.108176819,0.209684694,-5.284967636,1.26E-07,5.70E-06,Negative
RMST,27.01200454,-2.556022166,0.294571267,-5.282328383,1.28E-07,5.77E-06,Negative
DCBLD2,2757.99144,1.688947498,0.130475764,5.280271813,1.29E-07,5.82E-06,Positive
CPNE6,14.65547917,-2.366055824,0.258853883,-5.277324052,1.31E-07,5.91E-06,Negative
DLX1,36.17180763,2.157233501,0.219357843,5.275551069,1.32E-07,5.95E-06,Positive
SFTA1P,11.2165897,2.159657166,0.219969095,5.271909521,1.35E-07,6.06E-06,Positive
CYP2C9,49.48288338,-2.580453216,0.300048064,-5.267333485,1.38E-07,6.20E-06,Negative
GPR176,573.6434887,1.661162623,0.125559711,5.265722697,1.40E-07,6.24E-06,Positive
EEF1GP4,5.002805709,-2.166291737,0.221602511,-5.262989727,1.42E-07,6.33E-06,Negative
HS3ST5,87.14517058,-2.354684401,0.257439729,-5.262141961,1.42E-07,6.34E-06,Negative
KRT16P4,9.814882399,2.697112211,0.322549503,5.261555803,1.43E-07,6.35E-06,Positive
OBP2A,5.579778487,2.249633349,0.237922171,5.252277859,1.50E-07,6.67E-06,Positive
UGT2B11,6.92037885,-2.698468027,0.324354193,-5.236460822,1.64E-07,7.25E-06,Negative
TSGA10IP,13.65775389,-2.176701057,0.224754769,-5.235488705,1.65E-07,7.28E-06,Negative
